episode,episode_reward,win,avg_loss_window
1.0,-12.0,0.0,13.338149070739746
2.0,-11.0,0.0,13.302151679992676
3.0,-26.0,0.0,13.266376177469889
4.0,0.0,1.0,13.231351613998413
5.0,9.0,1.0,12.581426048278809
6.0,4.0,1.0,12.389314492543539
7.0,-12.0,0.0,12.466123853410993
8.0,-16.0,0.0,12.516401529312134
9.0,-28.0,0.0,12.382648997836643
10.0,2.0,1.0,12.565381908416748
11.0,10.0,1.0,12.709415522488682
12.0,-30.0,0.0,12.823999166488647
13.0,-14.0,0.0,12.800975432762733
14.0,-30.0,0.0,12.561167580740792
15.0,-11.0,0.0,12.445505269368489
16.0,-2.0,1.0,12.437921583652496
17.0,-30.0,0.0,12.343887833987965
18.0,-21.0,0.0,12.502725707160103
19.0,-28.0,0.0,12.484543499193693
20.0,7.0,1.0,12.542043352127076
21.0,5.0,1.0,12.564809036254882
22.0,6.0,1.0,12.510401487350464
23.0,-23.0,0.0,12.317008543014527
24.0,-2.0,1.0,12.26946530342102
25.0,8.0,1.0,12.441357183456422
26.0,-23.0,0.0,12.608437871932983
27.0,-11.0,1.0,12.627997016906738
28.0,-15.0,1.0,12.566129589080811
29.0,9.0,1.0,12.581005954742432
30.0,-11.0,0.0,12.442352485656738
31.0,-11.0,0.0,12.450564289093018
32.0,-14.0,0.0,12.389643287658691
33.0,6.0,1.0,12.120868945121765
34.0,-15.0,0.0,12.087312483787537
35.0,10.0,1.0,11.912306976318359
36.0,3.0,1.0,11.853436517715455
37.0,-15.0,0.0,11.782353067398072
38.0,5.0,1.0,11.445501327514648
39.0,-30.0,0.0,11.254738187789917
40.0,9.0,1.0,10.980936956405639
41.0,-30.0,0.0,10.622189259529113
42.0,-13.0,0.0,10.421429753303528
43.0,-17.0,0.0,10.42446963787079
44.0,-13.0,0.0,10.109202766418457
45.0,-15.0,0.0,9.968964433670044
46.0,-11.0,0.0,9.877668809890746
47.0,-30.0,0.0,9.587608432769775
48.0,10.0,1.0,9.412078380584717
49.0,-30.0,0.0,9.052891874313355
50.0,-30.0,0.0,8.736451649665833
51.0,-12.0,0.0,8.39962694644928
52.0,-11.0,1.0,8.098231983184814
53.0,3.0,1.0,8.324968791007995
54.0,-27.0,0.0,8.280919528007507
55.0,-27.0,0.0,8.35530424118042
56.0,-20.0,0.0,8.107457065582276
57.0,-30.0,0.0,7.958971118927002
58.0,-11.0,0.0,8.049224138259888
59.0,10.0,1.0,8.115204668045044
60.0,9.0,1.0,8.046070909500122
61.0,-11.0,0.0,7.997640180587768
62.0,-8.0,1.0,8.074450635910035
63.0,9.0,1.0,7.910689067840576
64.0,-11.0,0.0,7.920260977745056
65.0,-8.0,1.0,7.71501784324646
66.0,-30.0,0.0,7.361717677116394
67.0,-16.0,0.0,7.449870467185974
68.0,-30.0,0.0,7.394724059104919
69.0,-30.0,0.0,7.568100619316101
70.0,-13.0,0.0,7.473751759529113
71.0,-11.0,0.0,7.298489117622376
72.0,-11.0,0.0,7.418658924102783
73.0,7.0,1.0,7.286096048355103
74.0,-30.0,0.0,7.266983819007874
75.0,1.0,1.0,6.9905157566070555
76.0,6.0,1.0,6.9472612857818605
77.0,5.0,1.0,6.907717847824097
78.0,-30.0,0.0,6.7852787733078
79.0,-30.0,0.0,6.625095677375794
80.0,9.0,1.0,6.654719400405884
81.0,-21.0,0.0,6.683568477630615
82.0,1.0,1.0,6.405639004707337
83.0,-30.0,0.0,6.277861785888672
84.0,-11.0,0.0,6.157939839363098
85.0,-30.0,0.0,6.1150470495224
86.0,4.0,1.0,6.247537899017334
87.0,-30.0,0.0,6.030454111099243
88.0,1.0,1.0,5.8617849111557
89.0,10.0,1.0,5.642822706699372
90.0,7.0,1.0,5.849503219127655
91.0,-30.0,0.0,5.981411850452423
92.0,-30.0,0.0,5.8193087697029116
93.0,-30.0,0.0,5.754653751850128
94.0,-4.0,1.0,5.643296897411346
95.0,1.0,1.0,5.723199260234833
96.0,-10.0,0.0,5.709589183330536
97.0,-30.0,0.0,5.7350710272789005
98.0,-30.0,0.0,5.460266649723053
99.0,-10.0,0.0,5.358362972736359
100.0,-30.0,0.0,5.173944306373596
101.0,-14.0,1.0,5.281770896911621
102.0,-28.0,0.0,5.517094874382019
103.0,-8.0,1.0,5.640846562385559
104.0,-30.0,0.0,5.708694410324097
105.0,-30.0,0.0,5.610879075527191
106.0,-30.0,0.0,5.468742215633393
107.0,10.0,1.0,5.50633190870285
108.0,-29.0,0.0,5.485692703723908
109.0,-23.0,0.0,5.645723628997803
110.0,-14.0,0.0,5.598730087280273
111.0,9.0,1.0,5.44493796825409
112.0,-14.0,0.0,5.235857844352722
113.0,-30.0,0.0,5.171659588813782
114.0,5.0,1.0,5.120284533500671
115.0,-2.0,1.0,5.1270777702331545
116.0,-2.0,1.0,5.059876704216004
117.0,-30.0,0.0,4.961790418624878
118.0,9.0,1.0,5.082418847084045
119.0,-30.0,0.0,5.020154309272766
120.0,7.0,1.0,5.069045770168304
121.0,-30.0,0.0,4.791247487068176
