episode,beta,episode_reward,avg_loss,win,replay_size,global_step
139.0,0.4231666666666667,-35.0,3.125052642822266,0.0,3141.0,3143.0
140.0,0.42333333333333334,-35.0,3.1354901790618896,0.0,3176.0,3178.0
141.0,0.42350000000000004,-35.0,3.2941063404083253,0.0,3211.0,3213.0
142.0,0.4236666666666667,-12.0,2.6774293581644693,0.0,3216.0,3216.0
143.0,0.42383333333333334,-10.0,3.094139337539673,0.0,3217.0,3217.0
144.0,0.42400000000000004,-35.0,3.0491464955466134,0.0,3250.0,3252.0
145.0,0.4241666666666667,-35.0,3.0849807603018626,0.0,3285.0,3287.0
146.0,0.42433333333333334,-35.0,3.184902436392648,0.0,3320.0,3322.0
147.0,0.42450000000000004,9.0,3.0359458923339844,1.0,3324.0,3324.0
148.0,0.4246666666666667,-35.0,2.9547000680650983,0.0,3357.0,3359.0
149.0,0.42483333333333334,-35.0,3.1853470052991595,0.0,3392.0,3394.0
150.0,0.42500000000000004,-35.0,2.989278847830636,0.0,3427.0,3429.0
151.0,0.4251666666666667,10.0,3.7458231449127197,1.0,3430.0,3430.0
152.0,0.42533333333333334,-35.0,3.1279824325016565,0.0,3463.0,3465.0
153.0,0.42550000000000004,-35.0,2.9300825323377335,0.0,3498.0,3500.0
154.0,0.4256666666666667,-35.0,2.9841133322034565,0.0,3533.0,3535.0
155.0,0.42583333333333334,-11.0,2.7138452529907227,0.0,3537.0,3537.0
156.0,0.42600000000000005,-35.0,2.9912720203399656,0.0,3570.0,3572.0
157.0,0.4261666666666667,8.0,2.5835965474446616,1.0,3575.0,3575.0
158.0,0.42633333333333334,-21.0,3.0287169218063354,1.0,3607.0,3607.0
159.0,0.42650000000000005,-35.0,3.0258180618286135,0.0,3640.0,3642.0
160.0,0.4266666666666667,-35.0,3.081125715800694,0.0,3675.0,3677.0
161.0,0.42683333333333334,10.0,2.754230499267578,1.0,3678.0,3678.0
162.0,0.42700000000000005,-12.0,2.996547222137451,0.0,3681.0,3681.0
163.0,0.4271666666666667,-35.0,2.9709322452545166,0.0,3714.0,3716.0
164.0,0.42733333333333334,-35.0,2.988291140965053,0.0,3749.0,3751.0
165.0,0.4275,-35.0,2.92528087752206,0.0,3784.0,3786.0
166.0,0.4276666666666667,8.0,3.1648921966552734,1.0,3789.0,3789.0
167.0,0.42783333333333334,-35.0,2.9230148587908062,0.0,3822.0,3824.0
168.0,0.42800000000000005,-35.0,3.047690200805664,0.0,3857.0,3859.0
169.0,0.4281666666666667,9.0,3.0626490116119385,1.0,3861.0,3861.0
170.0,0.42833333333333334,-35.0,3.0013345173427037,0.0,3894.0,3896.0
171.0,0.4285,10.0,3.052003860473633,1.0,3897.0,3897.0
172.0,0.4286666666666667,-35.0,2.861788204738072,0.0,3930.0,3932.0
173.0,0.42883333333333334,-12.0,3.071291208267212,0.0,3935.0,3935.0
174.0,0.42900000000000005,-35.0,2.9942458289010183,0.0,3968.0,3970.0
175.0,0.4291666666666667,-35.0,2.9898570605686734,0.0,4003.0,4005.0
176.0,0.42933333333333334,-35.0,2.8521869931902204,0.0,4038.0,4040.0
177.0,0.4295,10.0,2.533597230911255,1.0,4041.0,4041.0
178.0,0.4296666666666667,-35.0,2.8673942293439594,0.0,4074.0,4076.0
179.0,0.42983333333333335,10.0,3.630608558654785,1.0,4077.0,4077.0
180.0,0.43000000000000005,-12.0,3.3482850392659507,0.0,4080.0,4080.0
181.0,0.4301666666666667,-10.0,3.0302746295928955,0.0,4081.0,4081.0
182.0,0.43033333333333335,-13.0,3.124605417251587,0.0,4085.0,4085.0
183.0,0.4305,-35.0,2.8811217512403218,0.0,4118.0,4120.0
184.0,0.4306666666666667,-35.0,2.9708407197679794,0.0,4153.0,4155.0
185.0,0.43083333333333335,-35.0,2.9491094521113803,0.0,4188.0,4190.0
186.0,0.43100000000000005,-35.0,3.0176331724439347,0.0,4223.0,4225.0
187.0,0.4311666666666667,-35.0,2.8961722578321183,0.0,4258.0,4260.0
188.0,0.43133333333333335,10.0,2.6905055046081543,1.0,4261.0,4261.0
