episode,epsilon,episode_reward,avg_loss,win,replay_size,global_step
81.0,0.9271,-6.0,0.1405295703340979,1.0,1000.0,1756.0
82.0,0.9262,-30.0,0.14960821072260538,0.0,1000.0,1786.0
83.0,0.9253,-13.0,0.16966297135998806,1.0,1000.0,1810.0
84.0,0.9244,-22.0,0.1797933796277413,0.0,1000.0,1823.0
85.0,0.9235,-12.0,0.1498937507470449,0.0,1000.0,1826.0
86.0,0.9226,-22.0,0.15484127287681287,0.0,1000.0,1839.0
87.0,0.9217,-30.0,0.15880131125450134,0.0,1000.0,1869.0
88.0,0.9208000000000001,-18.0,0.141765548951096,0.0,1000.0,1878.0
89.0,0.9198999999999999,-5.0,0.15002309251576662,1.0,1000.0,1894.0
90.0,0.919,-11.0,0.133083026856184,0.0,1000.0,1896.0
91.0,0.9181,-30.0,0.1408469021320343,0.0,1000.0,1926.0
92.0,0.9172,-19.0,0.13600382208824158,0.0,1000.0,1936.0
93.0,0.9163,-12.0,0.1667585422595342,0.0,1000.0,1939.0
94.0,0.9154,-5.0,0.17671597935259342,1.0,1000.0,1955.0
95.0,0.9145,-30.0,0.16315157239635786,0.0,1000.0,1985.0
96.0,0.9136,-15.0,0.1538156196475029,0.0,1000.0,1991.0
97.0,0.9127,-19.0,0.15259704142808914,1.0,1000.0,2021.0
98.0,0.9117999999999999,-38.0,0.15783119509960042,0.0,1000.0,2050.0
99.0,0.9109,-12.0,0.1889901210864385,0.0,1000.0,2053.0
100.0,0.91,-30.0,0.1624646892150243,0.0,1000.0,2083.0
101.0,0.9091,-22.0,0.15209301561117172,0.0,1000.0,2096.0
102.0,0.9082,1.0,0.15356075912714004,1.0,1000.0,2106.0
103.0,0.9073,-21.0,0.1911026785771052,0.0,1000.0,2118.0
104.0,0.9064,-11.0,0.14588912203907967,0.0,1000.0,2120.0
105.0,0.9055,-22.0,0.1459067716048314,0.0,1000.0,2133.0
106.0,0.9046,-30.0,0.15763687938451768,0.0,1000.0,2163.0
107.0,0.9037,-30.0,0.148511799176534,0.0,1000.0,2193.0
108.0,0.9028,-16.0,0.15109808053131457,1.0,1000.0,2220.0
109.0,0.9019,-30.0,0.17387943218151727,0.0,1000.0,2250.0
110.0,0.901,-39.0,0.15957102552056313,0.0,1000.0,2280.0
111.0,0.9001,-30.0,0.16114482805132865,0.0,1000.0,2310.0
112.0,0.8992,-15.0,0.17986653869350752,0.0,1000.0,2316.0
113.0,0.8983,-30.0,0.15828291897972424,0.0,1000.0,2346.0
114.0,0.8974,-30.0,0.15990931217869123,0.0,1000.0,2376.0
115.0,0.8965,-15.0,0.14795617510875067,0.0,1000.0,2382.0
116.0,0.8956,-13.0,0.15535437315702438,0.0,1000.0,2386.0
117.0,0.8947,-12.0,0.16107742488384247,0.0,1000.0,2389.0
118.0,0.8938,-30.0,0.15845842038591704,0.0,1000.0,2419.0
119.0,0.8929,-29.0,0.16877522245049476,0.0,1000.0,2439.0
120.0,0.892,-24.0,0.15555252035458883,0.0,1000.0,2454.0
121.0,0.8911,-30.0,0.15422023311257363,0.0,1000.0,2484.0
122.0,0.8902,-13.0,0.19119619205594063,0.0,1000.0,2488.0
123.0,0.8893,-17.0,0.14384199865162373,0.0,1000.0,2496.0
124.0,0.8884,-18.0,0.1599807557132509,0.0,1000.0,2505.0
125.0,0.8875,-30.0,0.16027406031886737,0.0,1000.0,2535.0
126.0,0.8866,-30.0,0.1489109106361866,0.0,1000.0,2565.0
127.0,0.8857,-30.0,0.14249171738823255,0.0,1000.0,2595.0
128.0,0.8848,-11.0,0.18751570582389832,0.0,1000.0,2597.0
129.0,0.8839,-3.0,0.1437999638063567,1.0,1000.0,2611.0
130.0,0.883,-30.0,0.15239246835311254,0.0,1000.0,2641.0
131.0,0.8821,-30.0,0.15042676354448,0.0,1000.0,2671.0
132.0,0.8812,-30.0,0.13828169231613477,0.0,1000.0,2701.0
133.0,0.8803,-33.0,0.15231986871610084,0.0,1000.0,2725.0
134.0,0.8794,-22.0,0.1525425291978396,0.0,1000.0,2738.0
135.0,0.8785,-20.0,0.1425013935024088,0.0,1000.0,2749.0
136.0,0.8775999999999999,-30.0,0.15064948548873267,0.0,1000.0,2779.0
137.0,0.8767,-27.0,0.13916482403874397,0.0,1000.0,2797.0
138.0,0.8758,-14.0,0.1436878889799118,1.0,1000.0,2822.0
139.0,0.8749,-12.0,0.15472409625848135,0.0,1000.0,2825.0
140.0,0.874,-30.0,0.15170411343375842,0.0,1000.0,2855.0
141.0,0.8731,-17.0,0.1410664189606905,0.0,1000.0,2863.0
142.0,0.8722,-21.0,0.15085070704420409,0.0,1000.0,2875.0
143.0,0.8713,-30.0,0.14613226279616356,0.0,1000.0,2905.0
144.0,0.8704000000000001,-14.0,0.15103726834058762,0.0,1000.0,2910.0
145.0,0.8694999999999999,-30.0,0.14469735274712245,0.0,1000.0,2940.0
146.0,0.8686,-19.0,0.1393137075006962,1.0,1000.0,2970.0
147.0,0.8677,-13.0,0.14471456967294216,0.0,1000.0,2974.0
148.0,0.8668,-14.0,0.14718618392944335,0.0,1000.0,2979.0
149.0,0.8659,-12.0,0.15982531507809958,0.0,1000.0,2982.0
150.0,0.865,-30.0,0.14498277232050896,0.0,1000.0,3012.0
151.0,0.8641,-13.0,0.12710472010076046,0.0,1000.0,3016.0
152.0,0.8632,-30.0,0.13072305818398794,0.0,1000.0,3046.0
153.0,0.8623000000000001,-30.0,0.13416219105323154,0.0,1000.0,3076.0
154.0,0.8613999999999999,-11.0,0.13324172456156125,1.0,1000.0,3098.0
155.0,0.8605,-13.0,0.1313178986310959,0.0,1000.0,3102.0
156.0,0.8596,-30.0,0.1337763306995233,0.0,1000.0,3132.0
157.0,0.8587,-3.0,0.13581633887120656,1.0,1000.0,3146.0
158.0,0.8578,-30.0,0.14065904493133227,0.0,1000.0,3176.0
159.0,0.8569,-21.0,0.12317355908453465,0.0,1000.0,3188.0
160.0,0.856,-5.0,0.1345392088405788,1.0,1000.0,3204.0
161.0,0.8551,-18.0,0.13583675001201959,1.0,1000.0,3233.0
162.0,0.8542,-23.0,0.14154024049639702,0.0,1000.0,3247.0
163.0,0.8533,-11.0,0.14676284790039062,0.0,1000.0,3249.0
164.0,0.8524,-20.0,0.13263196430423044,0.0,1000.0,3260.0
165.0,0.8514999999999999,-3.0,0.13122427463531494,1.0,1000.0,3274.0
166.0,0.8506,-30.0,0.1254076023896535,0.0,1000.0,3304.0
167.0,0.8497,-30.0,0.12935951501131057,0.0,1000.0,3334.0
168.0,0.8488,-12.0,0.14170113702615103,0.0,1000.0,3337.0
169.0,0.8479,-13.0,0.1447579599916935,0.0,1000.0,3341.0
170.0,0.847,-30.0,0.13137467727065086,0.0,1000.0,3371.0
171.0,0.8461,-11.0,0.16517971456050873,0.0,1000.0,3373.0
172.0,0.8452,-19.0,0.13495623444517454,1.0,1000.0,3403.0
173.0,0.8443,-30.0,0.13335664371649425,0.0,1000.0,3433.0
174.0,0.8434,-12.0,0.12014938394228618,0.0,1000.0,3436.0
175.0,0.8425,-14.0,0.12266610264778137,0.0,1000.0,3441.0
176.0,0.8416,-30.0,0.13123976141214372,0.0,1000.0,3471.0
177.0,0.8407,-30.0,0.1373545154929161,0.0,1000.0,3501.0
178.0,0.8398,-10.0,0.13494561257816495,1.0,1000.0,3522.0
179.0,0.8389,-16.0,0.16281051614454814,0.0,1000.0,3529.0
180.0,0.838,-30.0,0.15202101469039916,0.0,1000.0,3559.0
181.0,0.8371,-15.0,0.15021236737569174,0.0,1000.0,3565.0
182.0,0.8362,-30.0,0.13937361339728038,0.0,1000.0,3595.0
183.0,0.8352999999999999,-19.0,0.1326457199951013,1.0,1000.0,3625.0
184.0,0.8344,-19.0,0.13344908729195595,0.0,1000.0,3635.0
185.0,0.8335,-30.0,0.12736466924349468,0.0,1000.0,3665.0
186.0,0.8326,-18.0,0.12292980171483138,1.0,1000.0,3694.0
187.0,0.8317,-3.0,0.12816500876631057,1.0,1000.0,3708.0
188.0,0.8308,-8.0,0.13553376103702344,1.0,1000.0,3727.0
189.0,0.8299,-14.0,0.12545487731695176,1.0,1000.0,3752.0
190.0,0.829,-15.0,0.12928092622986206,1.0,1000.0,3778.0
191.0,0.8281000000000001,-30.0,0.1264258086681366,0.0,1000.0,3808.0
192.0,0.8271999999999999,-30.0,0.12158762961626053,0.0,1000.0,3838.0
193.0,0.8263,-13.0,0.129044059664011,0.0,1000.0,3842.0
194.0,0.8254,-30.0,0.12391489533086618,0.0,1000.0,3872.0
195.0,0.8245,-2.0,0.11963742398298703,1.0,1000.0,3885.0
196.0,0.8236,-8.0,0.1324435409746672,1.0,1000.0,3904.0
197.0,0.8227,-30.0,0.11437812745571137,0.0,1000.0,3934.0
198.0,0.8218,-30.0,0.12224393164118132,0.0,1000.0,3964.0
199.0,0.8209,-2.0,0.12488861324695441,1.0,1000.0,3977.0
200.0,0.82,-30.0,0.12946905568242073,0.0,1000.0,4007.0
201.0,0.8190999999999999,-16.0,0.12033189998732673,1.0,1000.0,4034.0
202.0,0.8182,-30.0,0.13097834090391794,0.0,1000.0,4064.0
203.0,0.8172999999999999,-30.0,0.11650594646732013,0.0,1000.0,4094.0
204.0,0.8164,2.0,0.11680654022428724,1.0,1000.0,4103.0
205.0,0.8155,-30.0,0.12126849790414175,0.0,1000.0,4133.0
206.0,0.8146,-30.0,0.12440126637617747,0.0,1000.0,4163.0
207.0,0.8137,-30.0,0.12842266286412876,0.0,1000.0,4193.0
208.0,0.8128,-6.0,0.13231036198489807,1.0,1000.0,4210.0
209.0,0.8119000000000001,1.0,0.11687624603509902,1.0,1000.0,4220.0
210.0,0.8109999999999999,-17.0,0.12020818410175187,1.0,1000.0,4248.0
211.0,0.8101,-2.0,0.12774232431099966,1.0,1000.0,4261.0
212.0,0.8092,-22.0,0.11078028839368087,0.0,1000.0,4274.0
213.0,0.8083,-30.0,0.11322977443536122,0.0,1000.0,4304.0
214.0,0.8074,-30.0,0.11233535036444664,0.0,1000.0,4334.0
215.0,0.8065,-12.0,0.10173416008119998,1.0,1000.0,4357.0
216.0,0.8056,-30.0,0.11747023761272431,0.0,1000.0,4387.0
217.0,0.8047,-30.0,0.11675360525647799,0.0,1000.0,4417.0
218.0,0.8038,1.0,0.10839816480875016,1.0,1000.0,4427.0
219.0,0.8029,-31.0,0.10802727565169334,0.0,1000.0,4449.0
220.0,0.802,-30.0,0.10740368242065111,0.0,1000.0,4479.0
221.0,0.8011,-30.0,0.10499467899401983,0.0,1000.0,4509.0
222.0,0.8002,-4.0,0.10400768617788951,1.0,1000.0,4524.0
223.0,0.7993,-11.0,0.08815586566925049,0.0,1000.0,4526.0
224.0,0.7984,-9.0,0.10668673105537892,1.0,1000.0,4546.0
225.0,0.7975,-17.0,0.10540794488042593,0.0,1000.0,4554.0
226.0,0.7966,-30.0,0.10701972072323164,0.0,1000.0,4584.0
227.0,0.7957,1.0,0.08966444432735443,1.0,1000.0,4594.0
228.0,0.7948,-30.0,0.10632623508572578,0.0,1000.0,4624.0
229.0,0.7939,-2.0,0.09917304779474552,1.0,1000.0,4637.0
230.0,0.7929999999999999,-12.0,0.09123507887125015,0.0,1000.0,4640.0
231.0,0.7921,3.0,0.10804310813546181,1.0,1000.0,4648.0
232.0,0.7912,-2.0,0.11168339447333263,1.0,1000.0,4661.0
233.0,0.7903,-24.0,0.11487354338169098,0.0,1000.0,4676.0
234.0,0.7894,-11.0,0.10341667383909225,1.0,1000.0,4698.0
235.0,0.7885,-15.0,0.1012836570541064,0.0,1000.0,4704.0
236.0,0.7876,-30.0,0.103231630474329,0.0,1000.0,4734.0
237.0,0.7867,-13.0,0.10041608288884163,0.0,1000.0,4738.0
238.0,0.7858,-3.0,0.11062882255230631,1.0,1000.0,4752.0
239.0,0.7849,-30.0,0.09853936781485875,0.0,1000.0,4782.0
240.0,0.784,-11.0,0.07118264213204384,0.0,1000.0,4784.0
241.0,0.7831,-30.0,0.08766292730967204,0.0,1000.0,4814.0
242.0,0.7822,-7.0,0.10930407378408644,1.0,1000.0,4832.0
243.0,0.7813,-14.0,0.09834614604711532,1.0,1000.0,4857.0
244.0,0.7804,-30.0,0.10066234382490317,0.0,1000.0,4887.0
245.0,0.7795,-12.0,0.10318982849518459,0.0,1000.0,4890.0
246.0,0.7786,-10.0,0.09541306591459683,1.0,1000.0,4911.0
247.0,0.7777000000000001,-5.0,0.09863080363720655,1.0,1000.0,4927.0
248.0,0.7767999999999999,-11.0,0.09608414667573842,1.0,1000.0,4949.0
249.0,0.7759,-30.0,0.09672243744134904,0.0,1000.0,4979.0
250.0,0.775,-30.0,0.09850293522079785,0.0,1000.0,5009.0
251.0,0.7741,-5.0,0.10838278522714972,1.0,1000.0,5025.0
252.0,0.7732,-11.0,0.10088419169187546,0.0,1000.0,5027.0
253.0,0.7723,-13.0,0.11379638873040676,0.0,1000.0,5031.0
254.0,0.7714,-15.0,0.10579452835596524,1.0,1000.0,5057.0
255.0,0.7705,-37.0,0.0926394843097244,0.0,1000.0,5085.0
256.0,0.7696,-15.0,0.09524158789561345,1.0,1000.0,5111.0
257.0,0.7686999999999999,-16.0,0.1007419396881704,1.0,1000.0,5138.0
258.0,0.7678,0.0,0.11682468381795016,1.0,1000.0,5149.0
259.0,0.7669,-30.0,0.09861568560202917,0.0,1000.0,5179.0
260.0,0.766,-30.0,0.09999455586075782,0.0,1000.0,5209.0
261.0,0.7651,-24.0,0.08585183024406433,0.0,1000.0,5224.0
